relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_7cm (°C),soil_temperature_7_28cm (°C),soil_temperature_28_100cm (°C),soil_temperature_100_255cm (°C),soil_moisture_0_7cm (m³/m³),soil_moisture_7_28cm (m³/m³),soil_moisture_28_100cm (m³/m³),soil_moisture_100_255cm (m³/m³),is_day (),sunshine_duration (s),temperature_class
88,21.3,27.3,0.0,0.0,1012.8,1007.3,30,0,0,100,0.02,0.35,4.6,3.5,72,24,6.8,25.8,27.3,28.1,28.4,0.434,0.459,0.483,0.497,1,0.0,Light
82,21.6,29.2,0.0,0.0,1013.7,1008.3,30,0,0,100,0.1,0.58,2.6,1.8,106,101,8.6,26.2,27.3,28.1,28.4,0.434,0.458,0.483,0.497,1,2567.5,Light
75,21.6,30.6,0.0,0.0,1014.4,1009.0,30,0,0,100,0.23,0.88,3.6,4.4,127,125,10.8,27.3,27.3,28.1,28.4,0.432,0.458,0.483,0.497,1,3600.0,Moderate
68,21.2,31.6,0.0,0.0,1014.1,1008.7,30,0,0,100,0.4,1.19,4.3,5.1,132,129,13.3,28.9,27.3,28.1,28.4,0.427,0.458,0.483,0.497,1,3600.0,Moderate
62,21.0,34.2,0.0,0.0,1013.3,1007.9,30,0,0,100,0.58,1.52,5.1,6.1,135,135,15.1,30.7,27.5,28.1,28.4,0.42,0.458,0.483,0.497,1,3600.0,Moderate
59,20.9,35.5,0.0,0.0,1012.3,1007.0,30,0,0,100,0.65,1.71,4.9,5.9,144,137,15.5,32.1,27.7,28.1,28.4,0.412,0.457,0.483,0.497,1,3600.0,Moderate
55,20.5,36.3,0.0,0.0,1011.4,1006.1,32,2,0,100,0.67,1.96,3.8,4.8,131,132,15.1,33.2,28.0,28.1,28.4,0.404,0.457,0.482,0.497,1,3600.0,Heavy
49,19.1,35.8,0.0,0.0,1010.1,1004.8,39,7,4,100,0.63,2.32,4.3,5.4,90,86,13.7,33.9,28.3,28.1,28.4,0.397,0.457,0.482,0.497,1,3600.0,Heavy
46,18.3,34.5,0.0,0.0,1009.1,1003.8,46,8,14,100,0.54,2.45,5.6,6.8,75,72,14.4,33.8,28.6,28.1,28.4,0.39,0.456,0.482,0.497,1,3600.0,Heavy
47,18.3,33.0,0.0,0.0,1008.8,1003.5,66,25,22,100,0.41,2.38,6.7,8.0,74,72,14.4,33.2,28.9,28.1,28.4,0.385,0.456,0.482,0.497,1,3600.0,Heavy
