relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),soil_temperature_0_7cm (°C),soil_temperature_7_28cm (°C),soil_temperature_28_100cm (°C),soil_temperature_100_255cm (°C),soil_moisture_0_7cm (m³/m³),soil_moisture_7_28cm (m³/m³),soil_moisture_28_100cm (m³/m³),is_day (),sunshine_duration (s),temperature_class
88,21.3,27.3,1012.8,1007.3,100,0.02,0.35,4.6,3.5,6.8,25.8,27.3,28.1,28.4,0.434,0.459,0.483,1,0.0,Light
82,21.6,29.2,1013.7,1008.3,100,0.1,0.58,2.6,1.8,8.6,26.2,27.3,28.1,28.4,0.434,0.458,0.483,1,2567.5,Light
75,21.6,30.6,1014.4,1009.0,100,0.23,0.88,3.6,4.4,10.8,27.3,27.3,28.1,28.4,0.432,0.458,0.483,1,3600.0,Moderate
68,21.2,31.6,1014.1,1008.7,100,0.4,1.19,4.3,5.1,13.3,28.9,27.3,28.1,28.4,0.427,0.458,0.483,1,3600.0,Moderate
62,21.0,34.2,1013.3,1007.9,100,0.58,1.52,5.1,6.1,15.1,30.7,27.5,28.1,28.4,0.42,0.458,0.483,1,3600.0,Moderate
59,20.9,35.5,1012.3,1007.0,100,0.65,1.71,4.9,5.9,15.5,32.1,27.7,28.1,28.4,0.412,0.457,0.483,1,3600.0,Moderate
55,20.5,36.3,1011.4,1006.1,100,0.67,1.96,3.8,4.8,15.1,33.2,28.0,28.1,28.4,0.404,0.457,0.482,1,3600.0,Heavy
49,19.1,35.8,1010.1,1004.8,100,0.63,2.32,4.3,5.4,13.7,33.9,28.3,28.1,28.4,0.397,0.457,0.482,1,3600.0,Heavy
46,18.3,34.5,1009.1,1003.8,100,0.54,2.45,5.6,6.8,14.4,33.8,28.6,28.1,28.4,0.39,0.456,0.482,1,3600.0,Heavy
47,18.3,33.0,1008.8,1003.5,100,0.41,2.38,6.7,8.0,14.4,33.2,28.9,28.1,28.4,0.385,0.456,0.482,1,3600.0,Heavy
49,18.5,32.4,1009.0,1003.7,100,0.26,2.21,7.6,10.6,14.4,32.0,29.1,28.1,28.4,0.382,0.455,0.482,1,3600.0,Heavy
70,22.4,32.4,1009.8,1004.4,100,0.09,1.14,6.9,12.2,12.2,30.6,29.2,28.1,28.4,0.382,0.455,0.482,1,3186.47,Moderate
83,23.0,31.1,1011.2,1005.8,100,0.02,0.59,3.5,10.3,9.7,30.4,29.2,28.1,28.4,0.383,0.452,0.481,0,0.0,Moderate
86,23.3,30.1,1012.1,1006.7,100,0.01,0.46,8.9,7.3,13.0,29.2,29.2,28.1,28.4,0.383,0.452,0.481,0,0.0,Moderate
86,22.9,29.9,1013.0,1007.6,100,0.0,0.44,5.9,7.2,13.0,28.2,29.2,28.1,28.4,0.384,0.451,0.481,0,0.0,Moderate
89,22.8,29.3,1013.3,1007.9,100,0.0,0.35,5.8,6.0,8.6,27.4,29.1,28.1,28.4,0.385,0.451,0.481,0,0.0,Light
89,22.4,28.4,1013.6,1008.1,100,0.0,0.33,7.3,10.3,10.8,26.8,28.9,28.1,28.4,0.385,0.451,0.481,0,0.0,Light
92,22.2,27.8,1013.2,1007.7,100,0.0,0.24,5.6,6.6,10.8,26.2,28.8,28.1,28.4,0.386,0.45,0.481,0,0.0,Light
94,22.1,27.4,1012.6,1007.1,100,0.0,0.18,5.2,3.1,7.9,25.8,28.6,28.1,28.4,0.387,0.45,0.48,0,0.0,Light
95,22.0,27.1,1012.2,1006.7,100,0.0,0.14,3.9,1.3,7.6,25.4,28.4,28.1,28.4,0.388,0.45,0.48,0,0.0,Light
94,21.6,26.5,1011.9,1006.4,100,0.0,0.18,5.9,3.3,7.6,25.1,28.3,28.1,28.4,0.389,0.449,0.48,0,0.0,Light
93,21.2,26.0,1011.5,1006.0,100,0.0,0.18,5.4,6.2,9.0,24.8,28.1,28.1,28.4,0.389,0.449,0.48,0,0.0,Light
93,21.0,25.6,1011.8,1006.3,100,0.0,0.19,6.0,7.1,8.3,24.5,27.9,28.1,28.4,0.39,0.449,0.48,0,0.0,Light
93,20.7,25.1,1012.4,1006.9,100,0.0,0.19,6.8,10.9,9.7,24.3,27.7,28.1,28.4,0.391,0.449,0.48,0,0.0,Light
93,21.5,26.9,1013.1,1007.6,100,0.02,0.19,2.6,5.6,10.1,25.7,27.6,28.1,28.4,0.391,0.447,0.479,1,25.5,Light
85,22.5,30.4,1013.7,1008.3,100,0.1,0.5,0.5,2.6,6.5,26.4,27.5,28.1,28.4,0.391,0.447,0.479,1,2817.26,Moderate
71,21.5,31.8,1014.5,1009.1,98,0.24,1.06,0.8,0.8,7.6,27.8,27.5,28.1,28.4,0.389,0.447,0.479,1,3600.0,Moderate
65,21.4,33.4,1014.7,1009.3,70,0.44,1.34,1.3,1.6,10.1,29.8,27.6,28.1,28.4,0.385,0.446,0.479,1,3600.0,Moderate
61,21.2,35.3,1014.1,1008.7,98,0.56,1.61,1.1,1.8,10.4,31.5,27.8,28.1,28.4,0.379,0.446,0.479,1,3600.0,Moderate
56,20.6,36.1,1012.9,1007.6,93,0.63,1.88,2.6,3.1,12.2,33.0,28.0,28.1,28.4,0.371,0.446,0.479,1,3600.0,Heavy
54,20.4,36.0,1011.9,1006.6,100,0.63,2.03,4.0,4.5,13.7,33.9,28.3,28.1,28.4,0.364,0.445,0.479,1,3600.0,Heavy
53,20.3,35.7,1010.5,1005.2,100,0.58,2.09,4.4,5.1,13.7,34.3,28.7,28.1,28.4,0.359,0.445,0.478,1,3600.0,Heavy
54,20.4,34.5,1009.5,1004.2,100,0.5,2.03,6.5,8.0,15.5,34.2,29.0,28.1,28.4,0.355,0.444,0.478,1,3600.0,Heavy
59,20.8,32.8,1009.0,1003.7,100,0.33,1.69,7.3,8.9,15.8,33.3,29.2,28.1,28.4,0.351,0.444,0.478,1,3600.0,Moderate
67,22.0,32.3,1009.3,1003.9,100,0.22,1.31,9.4,12.0,15.8,32.2,29.4,28.1,28.4,0.349,0.443,0.478,1,3600.0,Moderate
78,23.2,31.5,1010.4,1005.0,100,0.09,0.79,9.4,16.9,15.8,30.8,29.5,28.1,28.4,0.349,0.443,0.478,1,3216.18,Moderate
82,23.5,32.1,1011.4,1006.0,100,0.03,0.65,4.3,4.0,13.7,30.0,29.3,28.1,28.4,0.36,0.442,0.477,0,0.0,Moderate
89,24.2,31.4,1012.1,1006.7,100,0.0,0.39,6.6,8.0,9.4,29.0,29.3,28.1,28.4,0.361,0.442,0.477,0,0.0,Moderate
93,24.3,31.3,1013.3,1007.9,100,0.0,0.24,3.4,7.3,9.7,28.1,29.2,28.1,28.4,0.361,0.441,0.477,0,0.0,Moderate
93,24.2,31.1,1013.7,1008.3,100,0.0,0.21,3.1,6.2,4.7,27.6,29.1,28.2,28.4,0.362,0.441,0.477,0,0.0,Moderate
89,23.5,31.1,1013.8,1008.4,100,0.0,0.36,1.3,4.9,4.0,27.1,29.0,28.2,28.4,0.363,0.441,0.476,0,0.0,Moderate
94,23.8,30.3,1013.6,1008.2,100,0.0,0.19,3.3,6.4,4.0,26.7,28.9,28.2,28.4,0.364,0.441,0.476,0,0.0,Light
94,23.5,29.9,1013.2,1007.8,100,0.0,0.19,3.2,4.8,5.0,26.4,28.7,28.2,28.4,0.365,0.44,0.476,0,0.0,Light
94,23.1,29.0,1012.6,1007.1,100,0.0,0.18,4.0,5.5,9.0,26.0,28.6,28.2,28.4,0.367,0.44,0.476,0,0.0,Light
94,22.7,28.6,1012.0,1006.5,100,0.0,0.19,3.7,6.4,5.0,25.8,28.4,28.2,28.4,0.369,0.44,0.476,0,0.0,Light
94,22.6,28.4,1011.8,1006.3,100,0.0,0.18,2.9,6.4,5.0,25.6,28.3,28.2,28.4,0.37,0.439,0.476,0,0.0,Light
96,22.7,28.3,1012.4,1006.9,100,0.0,0.12,2.3,7.4,4.0,25.3,28.1,28.2,28.4,0.37,0.439,0.476,0,0.0,Light
96,22.5,28.0,1012.7,1007.2,100,0.0,0.11,2.8,3.3,2.9,25.1,28.0,28.2,28.4,0.371,0.439,0.476,0,0.0,Light
92,22.8,29.2,1012.9,1007.4,100,0.02,0.23,1.8,1.5,5.0,26.2,27.8,28.2,28.4,0.391,0.439,0.476,1,0.0,Light
86,23.0,30.8,1013.8,1008.4,100,0.12,0.44,1.1,1.9,6.8,27.0,27.8,28.2,28.4,0.39,0.439,0.475,1,3600.0,Moderate
78,22.6,31.8,1014.1,1008.7,100,0.24,0.77,0.8,1.1,8.6,28.3,27.8,28.2,28.4,0.388,0.438,0.475,1,3600.0,Moderate
72,22.6,33.2,1014.1,1008.7,100,0.41,1.05,1.0,1.0,9.7,30.0,27.9,28.2,28.4,0.384,0.438,0.475,1,3600.0,Moderate
67,22.3,35.3,1013.0,1007.6,100,0.56,1.32,2.2,2.5,11.5,31.8,28.1,28.2,28.4,0.378,0.438,0.475,1,3600.0,Moderate
64,22.6,36.6,1012.2,1006.9,100,0.61,1.51,3.0,3.3,15.5,33.1,28.3,28.2,28.4,0.371,0.438,0.475,1,3600.0,Heavy
64,23.0,37.4,1011.1,1005.8,100,0.66,1.57,5.4,6.1,18.7,34.2,28.6,28.2,28.4,0.363,0.437,0.475,1,3600.0,Heavy
64,22.8,36.7,1009.3,1004.0,100,0.54,1.55,1.1,1.8,19.4,34.5,28.9,28.2,28.4,0.356,0.437,0.475,1,3600.0,Heavy
82,22.6,28.3,1009.6,1004.2,100,0.31,0.6,19.3,24.6,33.5,33.3,29.2,28.2,28.4,0.405,0.437,0.475,1,3600.0,Moderate
85,22.3,28.9,1009.1,1003.7,100,0.15,0.47,8.0,11.3,33.1,31.5,29.3,28.2,28.4,0.417,0.437,0.475,1,2056.06,Moderate
83,22.6,30.1,1009.7,1004.3,100,0.17,0.56,5.4,7.9,16.9,30.7,29.4,28.2,28.4,0.415,0.437,0.474,1,3600.0,Moderate
85,22.0,29.1,1011.6,1006.2,99,0.06,0.47,3.2,5.2,15.1,29.5,29.4,28.2,28.4,0.44,0.437,0.474,1,3246.04,Light
85,21.7,28.1,1011.7,1006.3,100,0.03,0.46,7.1,10.5,10.8,29.0,29.4,28.2,28.4,0.473,0.436,0.473,0,0.0,Light
88,22.3,28.8,1012.8,1007.4,100,0.0,0.38,5.2,7.3,11.9,27.8,29.3,28.2,28.4,0.488,0.436,0.473,0,0.0,Light
88,22.3,29.5,1013.5,1008.1,100,0.0,0.38,1.0,4.0,7.9,27.1,29.2,28.2,28.4,0.486,0.438,0.473,0,0.0,Light
91,22.6,29.0,1014.1,1008.6,100,0.0,0.26,2.5,4.6,4.0,26.6,29.0,28.2,28.4,0.483,0.438,0.473,0,0.0,Light
88,22.5,29.6,1014.0,1008.6,98,0.0,0.39,2.0,2.8,4.3,26.3,28.9,28.2,28.4,0.481,0.439,0.473,0,0.0,Light
94,22.7,28.4,1013.6,1008.1,100,0.0,0.19,4.6,3.6,5.8,26.0,28.7,28.2,28.4,0.479,0.44,0.473,0,0.0,Light
92,22.5,28.0,1013.2,1007.7,100,0.0,0.22,6.6,9.2,9.7,25.7,28.5,28.2,28.4,0.477,0.44,0.473,0,0.0,Light
94,22.4,28.0,1012.7,1007.2,100,0.0,0.18,4.0,7.4,9.7,25.5,28.4,28.2,28.4,0.476,0.441,0.473,0,0.0,Light
94,22.1,27.6,1012.2,1006.7,100,0.0,0.17,3.6,5.8,5.4,25.3,28.2,28.2,28.4,0.474,0.441,0.473,0,0.0,Light
90,21.9,28.3,1012.2,1006.7,100,0.0,0.28,0.8,1.1,5.4,25.2,28.0,28.2,28.4,0.473,0.442,0.473,0,0.0,Light
95,22.2,27.7,1011.8,1006.3,100,0.0,0.13,2.6,3.1,5.8,25.0,27.9,28.2,28.4,0.472,0.442,0.473,0,0.0,Light
93,22.0,27.4,1012.4,1006.9,100,0.0,0.19,4.5,4.6,5.8,24.8,27.7,28.2,28.4,0.471,0.443,0.472,0,0.0,Light
92,21.7,27.1,1012.9,1007.4,98,0.02,0.22,4.7,4.1,7.9,25.8,27.5,28.2,28.4,0.466,0.441,0.473,1,33.08,Light
86,22.0,29.0,1013.6,1008.1,97,0.1,0.41,1.9,3.3,9.4,26.3,27.5,28.2,28.4,0.465,0.441,0.473,1,3600.0,Light
80,22.0,30.0,1013.5,1008.1,99,0.25,0.66,4.3,5.1,11.5,27.7,27.4,28.2,28.4,0.462,0.441,0.473,1,3600.0,Moderate
